ID,TOL11,TOL12,TOL13,TOL14,TOL15,MALE,EXPOSURE
9.0,2.23,1.79,1.9000000000000001,2.12,2.66,0.0,1.54
45.0,1.12,1.45,1.45,1.45,1.99,1.0,1.16
268.0,1.45,1.34,1.99,1.79,1.34,1.0,0.9
314.0,1.22,1.22,1.55,1.12,1.12,0.0,0.81
442.0,1.45,1.99,1.45,1.67,1.9000000000000001,0.0,1.1300000000000001
514.0,1.34,1.67,2.23,2.12,2.44,1.0,0.9
569.0,1.79,1.9000000000000001,1.9000000000000001,1.99,1.99,0.0,1.99
624.0,1.12,1.12,1.22,1.12,1.22,1.0,0.98
723.0,1.22,1.34,1.12,1.0,1.12,0.0,0.81
918.0,1.0,1.0,1.22,1.99,1.22,0.0,1.21
949.0,1.99,1.55,1.12,1.45,1.55,1.0,0.93
978.0,1.22,1.34,2.12,3.46,3.3200000000000003,1.0,1.59
1105.0,1.34,1.9000000000000001,1.99,1.9000000000000001,2.12,1.0,1.3800000000000001
1542.0,1.22,1.22,1.99,1.79,2.12,0.0,1.44
1552.0,1.0,1.12,2.23,1.55,1.55,0.0,1.04
1653.0,1.11,1.11,1.34,1.55,2.12,0.0,1.25
